action,zoho_item_id,zoho_sku,zoho_name,zoho_category,zoho_brand,zoho_price,usage_signal,internal_id,internal_brand,internal_model,internal_match_method,zuper_id,zuper_name,zuper_match_method
NEW_INT_NEW_ZUPER,5385454000001013047,THHN4STRBLK-CUT,#4AWG THHN Black,Wire,,1.315815,in 2026 SO,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000001193728,THHHN6STRBLK-CUT,#6 AWG CU THHN Black,Wire,,1,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016766009,1206,"1 1/2"" Sealing Lockring",,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000018009868,GRC125,"1 1/4"" Gal Coupling",,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002771328,4303TZ,"1"" ALUM FLEX RW",Other,,2.5411,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000001230940,1-inch-emt,"1"" EMT 10ft Stick",Electrical Component,,1,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002728405,8630,"1"" EMT to Flex Coupling",Coupling,,1,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002630103,05016902103,"1"" Flex connectors",Electrical Component,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002728519,GRC100,"1"" Galvanized Coupling",Coupling,,1,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002558973,51146,"1"" ground bushing",Bushing,,6.244,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002731109,LB43CG,"1"" LB Aluminum Condulet W/Cover & Gasket",,,1,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000016968705,1004,"1"" Lock Ring",,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000002731175,LR43CG,"1"" LR Aluminum Condulet W/Cover & Gasket",,,1,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000019945744,NMLT50,"1"" LT Connector",,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000018012641,tc100a,"1"" Meter Hub",,,,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000009462065,323,"1"" Plastic Ground Bushing",Bushing,,0.2191,modified in 2026,(newly created),,,,(newly created),,
NEW_INT_NEW_ZUPER,5385454000006367196,10045ELBBE,"1"" PVC 45° Elbow, Schedule 40, Gray, Bell End",PVC,,1.7137,in 2026 SO,(newly created),,,,(newly created),,
